Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2022-06-16;3,230;10;206;659,370;3,250;3,250;3,200;242,072;242,072
2022-06-15;3,240;20;86;278,760;3,240;3,250;3,240;242,822;242,822
2022-06-14;3,260;10;105,556;344,084,060;3,240;3,270;3,200;244,321;244,321
2022-06-13;3,270;20;1,024;3,350,330;3,280;3,280;3,250;245,070;245,070
2022-06-10;3,250;0;850;2,763,580;3,270;3,270;3,250;243,571;243,571
2022-06-09;3,250;10;5,044;16,393,700;3,260;3,260;3,250;243,571;243,571
2022-06-08;3,260;10;6,185;20,102,510;3,260;3,260;3,250;244,321;244,321
2022-06-07;3,250;0;1,260;4,072,350;3,270;3,270;3,230;243,571;243,571
2022-06-03;3,250;0;55;177,750;3,240;3,250;3,230;243,571;243,571
2022-06-02;3,250;0;1,092;3,531,960;3,230;3,250;3,230;243,571;243,571
2022-06-01;3,250;10;193;624,820;3,230;3,250;3,230;243,571;243,571
2022-05-31;3,240;10;3,074;9,972,880;3,240;3,260;3,230;242,822;242,822
2022-05-30;3,230;10;117;377,680;3,250;3,250;3,220;242,072;242,072
2022-05-27;3,240;10;85;275,120;3,250;3,250;3,220;242,822;242,822
2022-05-26;3,250;20;2,639;8,499,910;3,220;3,250;3,220;243,571;243,571
2022-05-25;3,230;10;7,373;23,744,100;3,230;3,230;3,220;242,072;242,072
2022-05-24;3,220;0;2,544;8,192,860;3,220;3,230;3,220;241,323;241,323
2022-05-23;3,220;30;3,647;11,728,820;3,230;3,230;3,210;241,323;241,323
2022-05-20;3,250;10;104;335,020;3,270;3,270;3,220;243,571;243,571
2022-05-18;3,240;10;209;677,060;3,240;3,240;3,230;242,822;242,822
2022-05-17;3,230;10;2,147;6,935,170;3,240;3,240;3,230;242,072;242,072
2022-05-16;3,240;30;1,273;4,107,420;3,290;3,290;3,220;242,822;242,822
2022-05-13;3,210;10;20,362;65,156,050;3,230;3,230;3,180;240,573;240,573
2022-05-12;3,220;0;2,165;6,952,960;3,240;3,240;3,200;241,323;241,323
2022-05-11;3,220;30;5,912;18,899,000;3,180;3,250;3,170;241,323;241,323
2022-05-10;3,190;10;527;1,673,850;3,200;3,200;3,170;239,075;239,075
2022-05-09;3,180;10;2,945;9,365,660;3,190;3,190;3,170;238,325;238,325
2022-05-06;3,170;0;68;215,560;3,170;3,170;3,170;237,576;237,576
2022-05-05;3,170;0;2,797;8,849,610;3,170;3,180;3,160;237,576;237,576
2022-05-04;3,170;20;9,861;31,238,950;3,200;3,200;3,160;237,576;237,576
2022-05-03;3,190;30;3,421;10,822,350;3,170;3,200;3,160;239,075;239,075
2022-05-02;3,160;0;1,045;3,314,120;3,160;3,200;3,160;236,826;236,826
2022-04-29;3,160;10;5;15,810;3,170;3,170;3,140;236,826;236,826
2022-04-28;3,170;0;177;561,120;3,180;3,180;3,170;237,576;237,576
2022-04-27;3,170;10;554;1,753,290;3,140;3,180;3,140;237,576;237,576
2022-04-26;3,180;0;275;869,320;3,180;3,180;3,150;238,325;238,325
2022-04-25;3,180;10;434;1,361,510;3,180;3,180;3,130;238,325;238,325
2022-04-22;3,170;0;568;1,791,810;3,170;3,180;3,150;237,576;237,576
2022-04-21;3,170;0;162;514,690;3,180;3,180;3,160;237,576;237,576
2022-04-20;3,170;0;235;739,160;3,180;3,180;3,140;237,576;237,576
2022-04-19;3,170;0;754;2,376,100;3,190;3,190;3,140;237,576;237,576
2022-04-18;3,170;30;341;1,073,570;3,200;3,200;3,140;237,576;237,576
2022-04-13;3,140;40;1,877;5,847,360;3,190;3,190;3,090;235,327;235,327
2022-04-12;3,180;10;471;1,493,140;3,170;3,180;3,150;238,325;238,325
2022-04-11;3,170;10;1,446;4,576,220;3,220;3,220;3,150;237,576;237,576
2022-04-08;3,180;30;4,442;13,751,890;3,260;3,260;3,020;238,325;238,325
2022-04-07;3,150;10;1,158;3,607,520;3,060;3,150;3,060;236,077;236,077
2022-04-06;3,160;10;527;1,644,620;3,120;3,180;3,020;236,826;236,826
2022-04-05;3,170;30;2,873;9,080,380;3,180;3,210;3,150;237,576;237,576
2022-04-04;3,200;0;536;1,709,540;3,240;3,240;3,180;239,824;239,824
2022-04-01;3,200;30;58;187,110;3,240;3,240;3,200;239,824;239,824
2022-03-31;3,230;10;379;1,223,280;3,240;3,240;3,200;242,072;242,072
2022-03-30;3,240;30;615;2,004,490;3,270;3,270;3,210;242,822;242,822
2022-03-29;3,210;40;1,228;3,950,230;3,260;3,260;3,210;240,573;240,573
2022-03-28;3,250;20;340;1,102,280;3,260;3,260;3,230;243,571;243,571
2022-03-25;3,270;0;2,748;8,941,440;3,280;3,280;3,230;245,070;245,070
2022-03-24;3,270;0;2,714;8,734,020;3,290;3,290;3,200;245,070;245,070
2022-03-23;3,270;10;878;2,861,900;3,300;3,300;3,220;245,070;245,070
2022-03-22;3,280;10;4,427;14,487,940;3,290;3,300;3,260;245,820;245,820
2022-03-21;3,290;30;5,426;17,757,550;3,260;3,300;3,240;246,569;246,569
2022-03-18;3,260;0;342;1,102,920;3,200;3,280;3,200;244,321;244,321
2022-03-17;3,260;0;4,535;14,646,460;3,280;3,280;3,190;244,321;244,321
2022-03-16;3,260;10;4,791;15,479,180;3,280;3,290;3,200;244,321;244,321
2022-03-15;3,270;70;9,328;30,004,280;3,190;3,300;3,190;245,070;245,070
2022-03-14;3,200;0;921;2,947,760;3,210;3,210;3,200;239,824;239,824
2022-03-11;3,200;0;1,903;6,076,410;3,200;3,210;3,180;239,824;239,824
2022-03-10;3,200;10;3,020;9,678,830;3,210;3,230;3,190;239,824;239,824
2022-03-09;3,210;10;2,426;7,784,010;3,210;3,220;3,170;240,573;240,573
2022-03-07;3,200;10;5,893;18,828,790;3,200;3,210;3,170;239,824;239,824
2022-03-04;3,190;20;3,065;9,718,850;3,170;3,190;3,160;239,075;239,075
2022-03-03;3,170;10;1,151;3,655,430;3,180;3,190;3,160;237,576;237,576
2022-03-02;3,180;10;325;1,024,850;3,210;3,210;3,130;238,325;238,325
2022-03-01;3,190;0;1,514;4,723,050;3,190;3,190;3,100;239,075;239,075
2022-02-28;3,190;0;3,694;11,782,840;3,190;3,200;3,180;239,075;239,075
2022-02-25;3,190;10;972;3,071,990;3,110;3,190;3,110;239,075;239,075
2022-02-24;3,180;10;4,054;12,934,680;3,220;3,220;3,180;238,325;238,325
2022-02-23;3,190;40;15,440;49,321,030;3,150;3,250;3,150;239,075;239,075
2022-02-22;3,150;30;8,276;25,806,900;3,150;3,150;3,110;236,077;236,077
2022-02-21;3,120;40;7,362;22,828,190;3,080;3,120;3,080;233,828;233,828
2022-02-18;3,080;0;460;1,414,900;3,090;3,090;3,070;230,831;230,831
2022-02-17;3,080;10;6,078;18,635,570;3,070;3,100;3,050;230,831;230,831
2022-02-16;3,090;10;3,133;9,651,510;3,080;3,090;3,070;231,580;231,580
2022-02-15;3,080;0;1,074;3,302,140;3,080;3,080;3,060;230,831;230,831
2022-02-14;3,080;0;1,863;5,729,060;3,080;3,080;3,070;230,831;230,831
2022-02-11;3,080;0;2,473;7,597,030;3,080;3,080;3,060;230,831;230,831
2022-02-10;3,080;10;320;982,450;3,070;3,080;3,070;230,831;230,831
2022-02-09;3,070;20;10,446;32,063,970;3,050;3,090;3,050;230,081;230,081
2022-02-08;3,050;0;3,461;10,530,280;3,040;3,050;3,030;228,582;228,582
2022-02-07;3,050;10;631;1,918,510;3,040;3,050;3,040;228,582;228,582
2022-02-04;3,040;0;611;1,861,960;3,050;3,050;3,030;227,833;227,833
2022-02-03;3,040;10;646;1,970,390;3,060;3,060;3,040;227,833;227,833
2022-02-02;3,050;0;408;1,247,420;3,070;3,070;3,050;228,582;228,582
2022-02-01;3,050;0;1,082;3,300,040;3,050;3,050;3,030;228,582;228,582
2022-01-31;3,050;10;191;582,730;3,060;3,060;3,050;228,582;228,582
2022-01-28;3,060;10;183;557,660;3,050;3,070;3,040;229,332;229,332
2022-01-27;3,050;10;2,058;6,269,670;3,080;3,080;3,040;228,582;228,582
2022-01-26;3,060;10;3,468;10,546,380;3,040;3,060;3,030;229,332;229,332
2022-01-25;3,050;20;2,025;6,187,450;3,070;3,070;3,050;228,582;228,582
2022-01-24;3,070;10;659;2,016,250;3,060;3,070;3,050;230,081;230,081
2022-01-21;3,060;10;2,188;6,686,270;3,060;3,070;3,050;229,332;229,332
