Name;Abb;License;Year;Total Office;Phnom Penh Office;Provincial Office;ATM terminals;POS;Debit Cards;Credit Cards;Staff;Total Assets;Total Equity;GLP;NLP;Debt= Borrowings+Sub-debt;Total Customer Deposits (exc. Deposits from banks and Fis);CASA deposits;Total Paid-up Capital;Foreign Share;Cash;Gold;Deposits with NBC;Due from Banks;Deposits with, Loans and advances to, Banks;Loans and advances  to state enterprises;Loans and advances to private sector;Accrued interest receivable from Loans;Securities;Claims on goverment;Prepaid Expenses;Fixed assets;Other assets;Total Assets;Owed to NBC;Owed to Banks;Borrowed Funds (including subdebt);Demand deposits;Saving deposits ;Fixed deposits ;Accrued interest payable;Other deposits;Other liabilities;Total Liabilities;Paid up Capital;Reserves  ;Regulatory Resereve & other;Retained and Current Profit/Loss;Total Equity;Interest Income;Interest Expenses;Net Interest Income;Non Interest Income;Gross Operating Income;Operating Expenses (Excluded Depreciations);Depreciation;Bad & Doubtful Debts;Recoveries;Profit & Loss Before Tax;Profit Tax;Extra Gains or Losses;Net profit for 12 Months;Total Credit (Exc. Loans to Other banks and Fis);Agriculture, Forestry and Fishing;Mining and Quarrying;Manufacturing;Utilities;Construction;Wholesale Trade;Retail Trade;Accommodation and Food Service Activities;Transport and Storage;Information and Communications;Rental and Operational Leasing Activities;Real Estate Activities (include mortgage from 2024);Other Non-Financial Services ( including Education + Arts, Entertainment and creation);Personal Essentials (Exclude mortgage from 2024);Other Lending;Total Customer Deposits;Government;State Enterprise ;Business Enterprises;Individuals;Non-profit Organizations;Non- Resident;Others;Asset growth;Equity growth;GLP growth;Deposit growth;Debt (borrowings & sub-debt) growth;Int.income growth;Net int. income growth;Non-int. income growth;Ope growth;PBT growth;Net income growth;ROA;ROE;ROAA;ROAE;NIM;Portfolio Yield;CIR;NPL ratio;Net loan/GLP;Provision exp ratio;Loans per staff;Loans per branch;Loan to Agriculture;Loan to Construction;Loan to Real-estate;Loan to Hotel & Restaurants;Loan to Retail Trade;Loan to Wholesale Trade;Loans to personal essentials;Loans to manufacturing;Loans to others;Ope ratio;Ope per staff;CASA Ratio;Loan-deposit Ratio;Deposits with NBC/TA;D/E;A/E;Total Equity/Risky Assets;CASA/TL;FD/TL;Borrowings/TL;Owed to Banks & NBC/TL;Subdebt/TL;Other liab/TL;Avg. Funding Cost;Yield on Earnings Assets;Operating exp. Ratio;Funding exp. Ratio;Provision exp. Ratio;Yield margin
ACLEDA Bank Plc.;ACLEDA;Commercial;2020;263;21;242;734;4,287;1,334,899;14,807;12,013;25,825,032;4,183,382;17,485,909;373,950;3,959,243;16,888,861;9,452,151;1,752,144;0.485;1,662,830;0;4,761,797;970,943;106,875;0;17,197,404;122,919;0;0;67,822;796,119;138,323;25,825,032;0;1,220,739;2,738,504;2,075,091;7,377,060;7,263,465;119,117;54,128;793,547;21,641,651;1,752,144;0;1,960,344;470,894;4,183,382;1,833,803;559,558;1,274,245;291,807;1,566,052;788,051;55,691;156,385;22,123;588,048;114,595;-2,558;470,894;17,485,908;3,467,853;0;508,430;50,780;749,783;1,256,431;4,614,845;340;952,325;8,149;1,100,530;915,480;1,467,826;2,393,088;50;16,888,861;1,266,053;105,621;2,191,705;12,197,743;341,958;785,781;0;0.05094;0.09859;0.14823;0.04172;0.03608;0.0352;0.08191;-0.01163;0.04071;-0.0966;-0.09081;0.01823;0.11256;0.01869;0.11785;0.05686;0.09485;0.53877;0.02139;0.9835;0.00956;1,456;66,486;0.19832;0.04288;0.05236;0.00002;0.26392;0.07185;0.13686;0.02908;0.20472;0.05158;70.24;0.55967;1.03535;0.18439;5.17324;6.17324;0.21563;0.43676;0.33562;0.12654;0.05641;;0.04467;0.02763;0.09485;0.03765;0.02497;0.00698;0.02525
ACLEDA Bank Plc.;ACLEDA;Commercial;2021;262;21;241;909;4,462;1,518,387;19,643;12,081;31,313,971;4,550,733;21,454,589;455,591;5,003,380;20,775,265;11,132,621;1,764,706;0.4851;1,817,440;0;6,101,702;859,289;237,720;0;21,043,941;148,641;0;0;105,726;843,972;155,542;31,313,973;0;1,967,977;3,035,403;2,918,397;8,214,224;9,419,900;171,074;51,671;984,591;26,763,237;1,764,706;0;1,974,398;811,629;4,550,733;2,081,997;656,941;1,425,056;301,305;1,726,361;886,850;58,022;165,380;22,528;638,636;123,623;-4,536;510,476;21,454,589;4,375,819;92,768;620,061;83,888;1,238,719;1,617,417;5,575,662;1,331,999;1,067,751;14,582;159,761;1,031,584;1,549,689;2,694,891;0;20,775,265;1,229,571;500,874;2,459,398;15,220,988;385,344;979,091;0;0.21254;0.08781;0.22696;0.23012;0.26372;0.13534;0.11835;0.03255;0.11986;0.08603;0.08406;0.0163;0.11217;0.01787;0.11689;0.05558;0.09295;0.54732;0.02124;0.98086;0.00849;1,776;81,888;0.20396;0.05774;0.04808;0.06208;0.25988;0.07539;0.12561;0.0289;0.13836;0.04853;78.21;0.53586;1.0327;0.19486;5.88108;6.88108;0.19452;0.41597;0.35197;0.11342;0.07353;;0.04511;0.02842;0.09295;0.03685;0.02562;0.00645;0.02403
ACLEDA Bank Plc.;ACLEDA;Commercial;2022;264;22;242;1,140;4,358;1,725,703;25,000;12,083;36,513,651;4,834,990;25,889,635;707,835;5,081,730;24,167,873;12,011,278;1,783,332;0.485;2,071,172;0;6,080,417;564,376;878,008;0;25,215,483;185,686;130,098;20,125;112,395;855,973;399,918;36,513,651;0;1,687,072;4,449,446;3,479,390;8,531,888;11,884,755;205,560;66,281;1,374,269;31,678,661;1,783,332;0;1,995,237;1,056,421;4,834,990;2,493,055;868,928;1,624,126;308,759;1,932,886;1,006,991;62,249;289,857;33,974;607,764;122,080;-8,945;476,739;25,889,635;5,633,319;111,199;803,168;102,765;1,460,901;1,960,885;6,596,756;1,730,845;1,180,888;16,497;176,141;1,029,072;1,811,861;3,275,340;0;24,167,873;1,420,112;327,320;2,553,688;18,365,685;446,078;1,054,991;0;0.16605;0.06246;0.20672;0.1633;0.01566;0.19743;0.13969;0.02474;0.13162;-0.04834;-0.06609;0.01306;0.0986;0.01406;0.10159;0.05314;0.09167;0.55318;0.02734;0.97396;0.01224;2,143;98,067;0.21759;0.05643;0.03975;0.06685;0.2548;0.07574;0.12651;0.03102;0.1313;0.04517;88.49;0.49699;1.07124;0.16652;6.55196;7.55196;0.17047;0.37916;0.37517;0.14046;0.05326;;0.05196;0.03126;0.09167;0.03498;0.02843;0.00948;0.01877
ACLEDA Bank Plc.;ACLEDA;Commercial;2023;264;22;242;1,393;4,728;1,853,629;31,953;12,045;38,620,529;4,757,339;26,641,332;1,606,461;5,561,174;27,397,407;13,085,941;1,769,471;0.485;2,030,239;0;9,018,494;363,413;26,396;0;25,486,014;237,076;129,106;170,089;119,302;877,646;162,755;38,620,530;0;1,613,017;3,948,157;3,807,621;9,278,320;13,937,913;298,840;74,713;904,609;33,863,190;1,769,471;0;1,979,729;1,008,139;4,757,339;2,778,417;1,291,893;1,486,524;367,662;1,854,186;977,445;65,360;486,443;18,308;343,245;66,507;-19,848;256,890;26,641,331;5,650,476;134,861;819,351;93,039;1,372,871;1,864,352;6,783,875;1,701,725;1,238,197;14,986;158,419;707,398;1,897,623;4,204,160;0;27,397,407;1,829,825;494,674;2,436,209;21,027,010;420,834;1,188,855;0;0.0577;-0.01606;0.02903;0.13363;0.09435;0.11446;-0.08472;0.19077;-0.02472;-0.43523;-0.46115;0.00665;0.054;0.00684;0.05356;0.04367;0.09242;0.56241;0.0603;0.95663;0.01852;2,212;100,914;0.21209;0.05153;0.02655;0.06388;0.25464;0.06998;0.15781;0.03075;0.13277;0.0397;86.58;0.47763;0.9724;0.23352;7.11809;8.11809;0.17254;0.38644;0.41159;0.11659;0.04763;;0.03774;0.04126;0.09242;0.03063;0.03795;0.01429;0.00955
ACLEDA Bank Plc.;ACLEDA;Commercial;2024;265;21;244;1,486;5,553;1,700,365;43,804;11,971;42,973,820;5,998,367;27,934,459;1,700,167;4,791,119;31,546,958;16,948,475;1,743,481;0.485;2,068,498;0;8,883,637;2,658,757;204,750;0;27,586,167;28,072;136,839;268,328;79,599;1,025,581;33,591;42,973,819;0;1,662,550;3,128,569;5,620,429;11,328,046;14,213,825;297,956;86,702;637,375;36,975,452;1,743,481;23,130;3,358,888;872,868;5,998,367;3,097,697;1,349,104;1,748,593;230,209;1,978,802;1,004,581;75,417;333,148;32,728;585,927;119,295;-12,456;466,632;27,934,459;5,722,614;201,477;740,254;94,281;1,446,849;1,785,014;7,502,966;1,699,046;1,269,974;11,621;171,547;1,065,967;116,436;4,145,764;1,667,641;31,546,958;1,852,556;758,674;2,380,019;24,779,598;432,303;1,343,808;0;0.11272;0.26087;0.04854;0.15146;-0.13847;0.11491;0.1763;-0.37386;0.03567;0.70702;0.81647;0.01086;0.07779;0.01144;0.08677;0.04667;0.08882;0.54578;0.06086;0.98753;0.01221;2,334;105,413;0.20486;0.05179;0.03816;0.06082;0.26859;0.0639;0.14841;0.0265;0.13696;0.03958;90.22;0.53725;0.88549;0.20672;6.16425;7.16425;0.18732;0.45837;0.38441;0.08461;0.04496;;0.02764;0.03937;0.08882;0.02883;0.03601;0.00889;0.0151
Advanced Bank of Asia Ltd.;ABA;Commercial;2010;;;;28;107;14,354;88;196;616,791;129,989;302,097;2,359;22,705;477,593;262,128;145,908;1;37,878;0;81,025;16,526;181,400;0;299,602;1,290;0;0;2,725;13,720;-17,375;616,791;0;22,705;0;26,281;235,847;210,376;4,173;916;-13,496;486,802;145,908;0;0;-15,919;129,989;30,643;14,749;15,894;7,320;23,214;15,826;5,546;2,538;1,592;896;378;-362;156;302,097;5,564;2,068;58,268;0;25,190;24,811;45,671;37,332;3,350;18,923;11,621;28,230;36,298;4,770;0;477,593;0;0;121,954;335,665;0;19,058;916;;;;;;;;;;;;0.00025;0.0012;;;;;0.92065;0.00781;0.99174;;1,541;;0.01842;0.08338;0.09345;0.12358;0.15118;0.08213;0.01579;0.19288;0.2392;;109.04;0.54885;0.63254;0.13137;3.74495;4.74495;0.26108;0.53847;0.43216;0;0.04664;;-0.01727;;;;;;
Advanced Bank of Asia Ltd.;ABA;Commercial;2011;10;7;3;32;115;12,132;214;243;817,998;137,714;379,903;13,652;15,087;659,691;395,286;145,404;1;38,922;0;106,149;8,496;269,836;0;373,634;3,043;101;0;3,623;14,167;27;817,998;0;15,087;0;20,145;375,141;255,721;5,866;2,818;5,506;680,284;145,404;0;0;-7,690;137,714;53,446;27,159;26,287;9,543;35,830;19,099;4,403;4,433;973;8,868;666;-29;8,173;379,903;9,617;1,273;25,633;1,146;18,988;17,525;76,926;34,752;2,069;14,220;1,218;4,058;93,506;78,974;0;659,691;0;0;162,284;467,312;0;27,277;2,818;0.32622;0.05943;0.25755;0.38128;-0.33552;0.74415;0.65389;0.30369;0.09966;8.89732;51.39103;0.00999;0.05935;0.01139;0.06106;0.03933;0.09424;0.65593;0.03594;0.9835;0.013;1,563;37,990;0.02531;0.04998;0.01068;0.09148;0.20249;0.04613;0.20788;0.06747;0.29858;0.06892;96.72;0.5992;0.57588;0.12977;4.93983;5.93983;0.20465;0.58106;0.3759;0;0.02218;;0.02086;0.04677;0.09424;0.03516;0.04063;0.00663;0.01181
Advanced Bank of Asia Ltd.;ABA;Commercial;2012;11;8;3;41;146;18,030;481;313;1,065,940;150,551;570,327;16,532;7,400;898,193;582,696;143,820;1;39,740;0;145,127;5,349;287,278;0;561,467;5,014;0;0;7,579;14,363;24;1,065,940;0;7,400;0;47,142;535,554;298,240;9,745;7,512;9,795;915,389;143,820;0;0;6,731;150,551;69,746;35,505;34,242;13,787;48,029;26,603;2,445;3,460;692;16,213;1,775;-100;14,338;559,501;41,914;163;47,927;4,170;30,644;58,103;107,907;62,599;2,948;7,496;4,019;31,741;147,018;12,852;0;898,193;0;0;206,310;657,739;0;26,632;7,512;0.30311;0.09321;0.50124;0.36154;-0.50951;0.30498;0.30262;0.44472;0.23598;0.82826;0.75431;0.01345;0.09524;0.01522;0.09948;0.03897;0.09506;0.6048;0.02899;0.98447;0.00728;1,822;51,848;0.07349;0.05373;0.05565;0.10976;0.1892;0.10188;0.02253;0.08403;0.30972;0.06114;92.81;0.64874;0.63497;0.13615;6.08026;7.08026;0.17087;0.63656;0.32581;0;0.00808;;0.02955;0.04568;0.09506;0.03306;0.04041;0.00394;0.01766
Advanced Bank of Asia Ltd.;ABA;Commercial;2013;17;10;7;57;163;25,578;611;444;1,302,522;167,852;712,384;19,205;12,226;1,104,637;694,803;143,820;1;52,992;0;185,501;28,033;297,987;0;700,014;7,925;0;0;11,233;18,836;3;1,302,522;0;12,226;0;60,627;634,176;398,868;10,239;727;17,808;1,134,669;143,820;0;0;24,032;167,852;86,863;41,161;45,702;18,082;63,784;34,438;3,006;4,777;1,161;22,724;4,687;67;18,104;712,383;54,143;0;47,413;758;25,093;66,212;138,687;70,179;978;22,546;17,746;95,223;150,915;22,490;0;1,104,637;0;0;286,586;778,847;0;38,476;727;0.22195;0.11492;0.24908;0.22984;0.65216;0.24542;0.33468;0.31153;0.28904;0.40159;0.26266;0.0139;0.10786;0.01529;0.11372;0.04135;0.09494;0.58704;0.02696;0.98264;0.00745;1,604;41,905;0.076;0.03522;0.13367;0.09851;0.19468;0.09294;0.03157;0.06656;0.27084;0.05838;84.33;0.62899;0.6449;0.14242;6.75994;7.75994;0.15775;0.61234;0.35153;0;0.01077;;0.02536;0.04128;0.09494;0.03387;0.03724;0.00432;0.01951
Advanced Bank of Asia Ltd.;ABA;Commercial;2014;25;13;12;88;237;38,456;828;695;2,069,178;260,850;1,069,863;3,814;58,889;1,724,429;1,013,370;182,022;1;104,919;0;352,897;40,335;436,488;0;1,059,996;6,768;0;0;19,711;48,073;-8;2,069,178;0;58,889;0;121,067;892,303;690,110;16,802;4,147;25,010;1,808,328;182,022;25,803;0;53,025;260,850;127,135;54,455;72,680;27,174;99,854;54,992;4,984;4,687;2,432;37,624;7,608;467;30,482;1,069,862;60,923;79;51,312;6,210;50,275;115,234;210,154;60,122;6,473;3,286;22,334;173,082;280,524;29,854;0;1,724,429;0;0;396,688;1,263,755;0;59,839;4,147;0.58859;0.55405;0.50181;0.56108;3.8167;0.46363;0.5903;0.50282;0.60175;0.65569;0.68372;0.01473;0.11686;0.01808;0.14221;0.04687;0.09951;0.60064;0.00356;0.99078;0.00526;1,539;42,795;0.05694;0.04699;0.16178;0.0562;0.19643;0.10771;0.0279;0.04796;0.29808;0.0673;86.3;0.58766;0.62042;0.17055;6.93244;7.93244;0.16188;0.56039;0.38163;0;0.03257;;0.02542;0.03797;0.09951;0.03868;0.03512;0.00302;0.02269
Advanced Bank of Asia Ltd.;ABA;Commercial;2015;33;13;20;128;338;62,025;984;1,020;3,282,847;404,020;1,902,287;2,647;406,582;2,427,122;1,342,090;213,204;1;120,191;0;457,913;102,246;633,655;0;1,888,753;11,870;0;0;15,619;52,594;6;3,282,847;0;406,582;0;175,375;1,166,715;1,054,086;22,499;8,447;45,124;2,878,827;213,204;74,346;0;116,470;404,020;210,134;80,405;129,729;33,769;163,498;68,612;7,087;8,040;82;79,842;15,907;-174;63,762;1,902,286;83,112;0;84,589;26,286;60,751;149,803;551,938;113,444;64,875;3,951;24,231;245,770;423,507;70,029;0;2,427,122;0;0;435,865;1,895,533;0;87,389;8,334;0.58655;0.54886;0.77807;0.40749;5.90421;0.65284;0.78493;0.2427;0.26215;1.1221;1.09179;0.01942;0.15782;0.02383;0.1918;0.05218;0.09811;0.463;0.00139;0.99289;0.00541;1,865;57,645;0.04369;0.03194;0.1292;0.05964;0.29014;0.07875;0.03681;0.04447;0.28537;0.05094;74.21;0.55296;0.78376;0.13949;7.12546;8.12546;0.14937;0.46619;0.36615;0;0.14123;;0.02642;0.03523;0.09811;0.03045;0.03234;0.00323;0.03208
Advanced Bank of Asia Ltd.;ABA;Commercial;2016;43;15;28;167;416;109,835;833;1,678;4,467,172;517,144;3,144,672;7,540;608,033;3,258,222;1,778,983;212,520;1;168,032;0;589,644;56,639;429,888;0;3,120,638;21,304;0;0;25,332;55,692;4;4,467,172;0;507,007;101,026;302,163;1,476,820;1,434,191;33,476;11,572;83,773;3,950,028;212,520;74,107;0;230,517;517,144;344,246;125,111;219,135;53,716;272,851;97,919;9,377;19,676;41;145,920;32,974;489;113,435;3,144,672;136,216;0;149,544;36,714;97,989;206,950;959,855;208,123;185,688;3,466;71,321;351,315;469,229;268,262;0;3,258,222;0;0;716,283;2,408,494;0;121,872;11,572;0.36076;0.28;0.6531;0.34242;0.49547;0.63822;0.68918;0.59069;0.4174;0.82761;0.77904;0.02539;0.21935;0.02927;0.24629;0.06021;0.10934;0.39324;0.0024;0.99236;0.0078;1,874;73,132;0.04332;0.03116;0.11172;0.06618;0.30523;0.06581;0.08531;0.04755;0.24372;0.04252;63.94;0.546;0.96515;0.13199;7.63816;8.63816;0.13941;0.45037;0.36308;0.02558;0.12836;;0.03261;0.03778;0.10934;0.02948;0.03437;0.00541;0.04008
Advanced Bank of Asia Ltd.;ABA;Commercial;2017;51;17;34;204;482;170,133;1,505;2,461;6,671,316;808,223;5,008,233;42,489;688,020;5,037,049;2,964,614;504,625;1;278,498;0;836,916;49,248;384,642;0;4,954,360;35,850;0;0;61,234;61,750;8,820;6,671,316;0;465,985;222,035;638,206;2,326,408;1,992,606;44,730;35,100;138,024;5,863,093;504,625;0;0;303,598;808,223;510,072;156,282;353,790;85,558;439,349;165,562;12,344;29,378;4;232,068;47,559;1,956;186,466;5,008,233;255,953;372;228,562;25,279;156,838;286,177;1,389,238;276,125;312,321;2,998;139,720;643,615;494,823;796,212;0;5,037,049;0;0;888,066;3,901,739;0;212,144;35,100;0.49341;0.56286;0.59261;0.54595;0.13155;0.48171;0.61448;0.59278;0.65809;0.59038;0.64381;0.02795;0.23071;0.03348;0.28138;0.06789;0.1143;0.40493;0.00848;0.98924;0.00721;2,035;98,201;0.05111;0.03132;0.12851;0.05513;0.27739;0.05714;0.15898;0.04564;0.19478;0.04364;72.29;0.58856;0.99428;0.12545;7.2543;8.2543;0.14547;0.50564;0.33986;0.03787;0.07948;;0.03716;0.03302;0.1143;0.03414;0.02999;0.00564;0.04453
Advanced Bank of Asia Ltd.;ABA;Commercial;2018;66;22;44;274;777;309,924;1,814;4,213;10,955,566;1,253,701;7,358,448;64,068;759,855;8,724,693;6,094,731;502,250;1;606,719;0;1,752,480;101,376;812,566;0;7,275,083;52,007;0;119,614;96,695;125,013;14,011;10,955,566;;385,166;374,689;1,448,728;4,646,003;2,533,512;46,623;49,827;217,317;9,701,865;662,970;0;0;590,731;1,253,701;738,693;188,864;549,829;126,723;676,553;253,433;19,734;41,961;2;361,427;74,169;1,305;288,563;7,358,449;359,594;;381,350;41,395;278,293;573,068;2,003,671;406,645;471,375;10,931;281,013;1,199,578;750,985;600,552;;8,724,693;;;1,282,405;6,942,116;;450,345;49,827;0.64219;0.55118;0.46927;0.7321;0.10441;0.44821;0.55411;0.48114;0.53546;0.55742;0.54754;0.02634;0.23017;0.03274;0.2799;0.06752;0.10628;0.40376;0.00871;0.98867;0.00679;1,747;111,492;0.04887;0.03782;0.16302;0.05526;0.2723;0.07788;0.08161;0.05182;0.21142;0.04418;64.84;0.69856;0.8434;0.15996;7.73858;8.73858;0.14584;0.6282;0.26114;0.03862;;;0.07204;0.03346;0.10628;0.03355;0.02319;0.00515;0.04438
Advanced Bank of Asia Ltd.;ABA;Commercial;2019;76;25;51;418;1,214;545,715;2,108;6,410;17,841,677;1,911,273;11,056,684;90,053;1,866,847;13,718,510;10,716,263;876,125;1;1,038,731;0;4,692,991;96,611;571,297;0;10,935,186;76,075;0;121,728;92,230;194,170;22,657;17,841,676;0;1,257,930;608,917;2,424,218;8,292,045;2,943,785;51,484;6,979;345,047;15,930,405;876,125;0;0;1,035,148;1,911,273;1,071,838;200,982;870,856;185,909;1,056,765;404,952;33,711;61,139;489;557,453;121,303;-115;436,036;11,056,683;520,679;0;509,275;67,241;513,047;934,531;2,975,952;552,541;632,852;16,496;524,452;2,325,548;1,060,794;423,277;0;13,718,510;10;0;1,928,890;11,186,804;0;595,968;6,838;0.62855;0.5245;0.50258;0.57238;1.45685;0.45099;0.58387;0.46705;0.60584;0.54237;0.51106;0.02444;0.22814;0.03028;0.27554;0.06578;0.095;0.4151;0.00814;0.98901;0.00664;1,725;145,483;0.04709;0.0464;0.21033;0.04997;0.26915;0.08452;0.03828;0.04606;0.20818;0.04764;68.43;0.78115;0.80597;0.26304;8.33497;9.33497;0.15783;0.67269;0.18479;0.03822;0.07896;;0.02533;0.01294;0.095;0.03313;0.01518;0.00462;0.04207
Advanced Bank of Asia Ltd.;ABA;Commercial;2020;78;25;53;489;1,627;533,879;2,339;6,266;24,744,997;3,015,769;15,274,338;144,681;1,817,552;19,427,123;15,554,655;1,355,075;1;1,530,121;0;5,993,180;151,666;1,506,982;0;15,088,177;107,565;0;0;133,358;205,037;28,913;24,744,999;0;1,251,607;565,945;3,360,013;12,194,642;3,787,078;58,697;26,692;484,553;21,729,227;1,355,075;0;0;1,660,694;3,015,769;1,390,837;231,435;1,159,402;216,237;1,375,639;510,310;40,857;92,076;2;732,398;151,671;87;580,815;15,274,338;767,114;8,521;747,094;122,247;720,903;1,646,405;4,361,344;704,193;737,388;34,684;536,208;2,988,386;1,421,256;478,595;0;19,427,123;98,077;0;2,366,632;16,326,653;0;634,256;1,506;0.38692;0.57789;0.38146;0.41612;-0.02641;0.29762;0.33134;0.16313;0.25647;0.31383;0.33203;0.02347;0.19259;0.02728;0.23577;0.05922;0.08208;0.40066;0.00947;0.98781;0.00699;2,438;195,825;0.05022;0.0472;0.19565;0.0461;0.28553;0.10779;0.03133;0.04891;0.18726;0.04186;87.96;0.80067;0.78624;0.2422;7.2052;8.2052;0.17511;0.71584;0.17428;0.02605;0.0576;;0.02623;0.01262;0.08208;0.02815;0.01182;0.0047;0.03741
Advanced Bank of Asia Ltd.;ABA;Commercial;2021;81;25;56;612;3,290;1,436,167;2,266;6,797;32,052,590;4,201,108;21,531,948;227,788;1,883,787;25,292,199;21,190,173;2,118,480;1;1,951,932;0;5,516,008;255,247;2,464,336;0;21,261,618;145,450;0;0;164,652;259,136;34,211;32,052,590;0;1,175,209;708,578;4,757,085;16,433,088;4,034,168;55,814;12,046;675,495;27,851,483;2,118,480;0;0;2,082,628;4,201,108;1,798,658;248,108;1,550,550;301,969;1,852,519;573,530;49,078;130,729;2;1,099,184;219,615;420;879,990;21,531,948;1,117,527;28,186;1,114,110;212,471;1,003,506;2,987,890;6,329,692;890,676;876,239;26,234;622,969;3,896,901;1,818,015;607,533;0;25,292,199;322,472;0;2,978,153;21,325,508;0;654,023;12,044;0.29532;0.39305;0.40968;0.3019;0.03644;0.29322;0.33737;0.39647;0.12962;0.5008;0.5151;0.02745;0.20947;0.03099;0.24387;0.05937;0.08043;0.33609;0.01058;0.98745;0.0071;3,168;265,827;0.0519;0.04661;0.18098;0.04137;0.29397;0.13877;0.02822;0.05174;0.16646;0.03383;91.6;0.83781;0.85133;0.17209;6.62956;7.62956;0.17088;0.76083;0.14485;0.02544;0.0422;;0.02669;0.01028;0.08043;0.02384;0.0095;0.00501;0.04208
Advanced Bank of Asia Ltd.;ABA;Commercial;2022;85;28;57;914;5,858;1,549,090;2,383;7,882;37,052,231;5,007,718;26,780,302;820,841;370,801;29,687,496;21,995,139;2,717,220;1;1,901,572;0;5,698,805;112,382;2,080,758;0;26,081,119;195,294;141,273;5,024;492,307;339,406;4,291;37,052,231;0;845,574;521,541;4,622,471;17,372,668;7,533,190;129,833;29,334;989,902;32,044,513;2,717,220;0;0;2,290,498;5,007,718;2,281,742;365,396;1,916,346;373,586;2,289,932;722,738;57,547;433,494;1;1,076,155;313,049;-837;762,269;26,780,302;1,440,516;59,737;1,474,495;261,990;1,206,909;3,917,640;8,010,551;1,095,053;944,942;27,433;626,519;4,718,885;2,231,535;764,097;0;29,687,496;451,854;0;3,303,394;25,310,431;0;592,485;29,332;0.15598;0.192;0.24375;0.17378;-0.80316;0.26858;0.23591;0.23717;0.25325;-0.02095;-0.13378;0.02057;0.15222;0.02206;0.16555;0.06025;0.08348;0.34075;0.03065;0.97389;0.01795;3,398;315,062;0.05379;0.04507;0.17621;0.04089;0.29912;0.14629;0.02853;0.05506;0.15505;0.0323;99;0.74089;0.90207;0.1538;6.39903;7.39903;0.17003;0.68639;0.23509;0.01628;0.02639;;0.03586;0.0126;0.08348;0.02453;0.01149;0.01363;0.03383
Advanced Bank of Asia Ltd.;ABA;Commercial;2023;95;32;63;1,287;9,437;1,534,627;2,889;9,540;46,969,953;6,506,561;31,612,275;1,373,596;1,833,643;36,872,455;24,987,163;4,493,500;1;1,939,794;0;4,523,794;1,362,109;5,373,610;0;30,515,065;287,706;122,756;1,259,795;1,117,664;405,940;61,721;46,969,954;0;1,416,281;417,362;5,510,408;19,476,755;11,540,245;317,687;27,360;1,757,293;40,463,391;4,493,500;0;0;2,013,061;6,506,561;2,789,797;798,901;1,990,896;413,840;2,404,736;855,456;65,107;435,489;1;1,048,686;287,120;50;761,616;31,612,275;1,780,207;120,577;1,920,494;345,759;1,272,087;4,920,376;9,233,915;1,320,229;946,275;29,559;596,723;5,397,630;2,792,967;935,477;0;36,872,455;628,244;0;4,404,780;31,257,215;0;554,858;27,358;0.26767;0.29931;0.18043;0.24202;3.94509;0.22266;0.0389;0.10775;0.17978;-0.02553;-0.00086;0.01621;0.11705;0.01813;0.13229;0.05153;0.08291;0.38281;0.04345;0.96529;0.01492;3,314;332,761;0.05631;0.04024;0.17074;0.04176;0.2921;0.15565;0.02959;0.06075;0.15285;0.03153;96.5;0.67766;0.85734;0.09631;6.21886;7.21886;0.16063;0.61753;0.2852;0.01031;0.035;;0.05196;0.02307;0.08291;0.02383;0.02068;0.01127;0.02714
Advanced Bank of Asia Ltd.;ABA;Commercial;2024;99;34;65;1,437;12,341;1,379,747;3,396;9,705;55,552,887;9,405,450;34,281,391;2,460,124;1,851,520;43,051,338;32,235,115;5,313,000;1;2,152,237;0;6,263,548;2,410,991;8,126,908;0;33,362,794;305,723;1,608,163;0;337,093;746,551;238,879;55,552,887;603,516;1,228,054;19,950;7,415,035;24,820,080;10,516,206;248,973;51,044;1,244,579;46,147,437;5,313,000;0;1,608,419;2,484,031;9,405,450;3,328,717;861,810;2,466,907;332,944;2,799,851;972,783;72,864;141,133;7;1,714,524;353,328;101,446;1,361,196;34,281,391;1,940,701;132,366;2,232,257;451,656;1,215,570;5,457,157;9,833,936;1,377,308;986,859;39,712;570,429;6,648,074;121,509;162,242;3,111,614;43,051,338;868,207;0;5,200,997;36,417,365;0;513,726;51,043;0.18273;0.44553;0.08443;0.16757;0.00975;0.19318;0.23909;-0.19548;0.13588;0.63493;0.78725;0.0245;0.14472;0.02655;0.17109;0.05197;0.07714;0.37347;0.07176;0.9732;0.00428;3,532;346,277;0.05661;0.03546;0.19393;0.04018;0.28686;0.15919;0.00473;0.06512;0.15793;0.03174;107.74;0.74876;0.79629;0.11275;4.90646;5.90646;0.19953;0.69852;0.22788;0.00043;0.03969;;0.03347;0.02078;0.07714;0.02203;0.01816;0.00297;0.03398
