Date;AAA;AA;A;BBB;BB;B;CCC
2024-07-22;0.38;0.53;0.79;1.15;1.72;2.82;9.31
2024-07-19;0.38;0.53;0.79;1.15;1.75;2.87;9.32
2024-07-18;0.39;0.53;0.79;1.15;1.76;2.87;9.3
2024-07-17;0.39;0.53;0.79;1.15;1.76;2.86;9.37
2024-07-16;0.38;0.53;0.79;1.14;1.77;2.85;9.3
2024-07-15;0.37;0.52;0.78;1.14;1.8;2.9;9.38
2024-07-12;0.37;0.52;0.78;1.14;1.85;2.94;9.51
2024-07-11;0.38;0.53;0.79;1.15;1.85;2.92;9.52
2024-07-10;0.37;0.53;0.78;1.14;1.83;2.95;9.46
2024-07-09;0.37;0.52;0.78;1.14;1.86;3.0;9.51
2024-07-08;0.37;0.53;0.78;1.14;1.85;2.99;9.52
2024-07-05;0.37;0.53;0.78;1.15;1.92;3.08;9.59
2024-07-04;0.38;0.53;0.79;1.15;1.9;3.05;9.59
2024-07-03;0.38;0.53;0.78;1.15;1.9;3.05;9.58
2024-07-02;0.37;0.53;0.79;1.15;1.87;3.04;9.55
2024-07-01;0.38;0.54;0.8;1.16;1.85;3.02;9.51
2024-06-28;nan;nan;nan;nan;1.85;3.01;9.53
2024-06-27;9.44;0.56;0.82;1.18;1.88;2.93;9.44
2024-06-26;9.41;0.57;0.83;1.18;1.85;2.91;9.41
2024-06-25;0.43;0.56;0.82;1.18;1.87;2.91;9.39
2024-06-24;0.42;0.56;0.82;1.18;1.87;2.91;9.37
2024-06-21;0.43;0.56;0.82;1.18;1.9;2.95;9.36
2024-06-20;0.43;0.56;0.82;1.18;1.92;2.95;9.32
2024-06-19;0.42;0.56;0.81;1.18;1.94;2.96;9.36
2024-06-18;0.42;0.56;0.81;1.17;1.94;2.96;9.35
2024-06-17;0.42;0.55;0.81;1.17;1.95;2.99;9.36
2024-06-14;0.41;0.54;0.8;1.17;1.99;3.03;9.33
2024-06-13;0.39;0.52;0.78;1.14;1.91;2.91;9.18
2024-06-12;0.38;0.51;0.76;1.12;1.82;2.79;9.07
2024-06-11;0.38;0.51;0.77;1.12;1.89;2.91;9.25
2024-06-10;0.38;0.51;0.76;1.12;1.85;2.87;9.2
2024-06-07;0.38;0.51;0.76;1.12;1.84;2.88;9.22
2024-06-06;0.39;0.52;0.78;1.13;1.9;2.92;9.25
2024-06-05;0.39;0.51;0.77;1.13;1.89;2.92;9.33
2024-06-04;0.38;0.5;0.76;1.11;1.9;2.93;9.37
2024-06-03;0.37;0.49;0.74;1.1;1.87;2.87;9.33
2024-05-31;0.37;0.49;0.74;1.1;1.89;2.91;9.34
2024-05-30;0.37;0.48;0.74;1.09;1.89;3.03;9.15
2024-05-29;0.37;0.48;0.74;1.09;1.84;2.99;9.09
2024-05-28;0.37;0.48;0.74;1.09;1.8;2.92;9.02
2024-05-27;0.38;0.49;0.75;1.1;1.83;2.94;9.05
2024-05-24;0.38;0.49;0.75;1.1;1.83;2.94;9.03
2024-05-23;0.37;0.49;0.75;1.1;1.82;2.93;9.0
2024-05-22;0.38;0.49;0.75;1.11;1.82;2.95;9.01
2024-05-21;0.37;0.49;0.74;1.1;1.79;2.9;8.98
2024-05-20;0.36;0.48;0.74;1.1;1.79;2.9;8.98
2024-05-17;0.36;0.48;0.75;1.11;1.81;2.91;9.02
2024-05-16;0.37;0.49;0.75;1.11;1.81;2.89;9.05
2024-05-15;0.37;0.49;0.76;1.12;1.86;2.92;9.1
2024-05-14;0.37;0.49;0.76;1.12;1.87;2.94;9.14
2024-05-13;0.37;0.49;0.76;1.12;1.85;2.94;9.22
2024-05-10;0.36;0.48;0.75;1.12;1.83;2.92;9.22
2024-05-09;0.35;0.48;0.75;1.11;1.85;2.94;9.2
2024-05-08;0.35;0.48;0.75;1.11;1.81;2.89;9.17
2024-05-07;0.35;0.48;0.74;1.1;1.78;2.85;9.09
2024-05-06;0.34;0.48;0.74;1.1;1.77;2.82;9.02
2024-05-03;0.34;0.48;0.75;1.11;1.81;2.87;9.04
2024-05-02;0.35;0.49;0.76;1.13;1.88;2.97;9.12
2024-05-01;0.35;0.49;0.77;1.14;1.91;3.02;9.21
2024-04-30;0.36;0.49;0.77;1.14;1.89;2.99;9.16
2024-04-29;0.36;0.48;0.75;1.12;1.84;3.02;8.82
2024-04-26;0.36;0.48;0.76;1.13;1.86;3.08;8.91
2024-04-25;0.37;0.49;0.77;1.14;1.93;3.16;9.01
2024-04-24;0.36;0.49;0.77;1.14;1.9;3.09;8.93
2024-04-23;0.36;0.49;0.77;1.14;1.9;3.1;8.98
2024-04-22;0.37;0.5;0.79;1.16;1.97;3.22;9.11
2024-04-19;0.38;0.51;0.8;1.17;2.05;3.31;9.16
2024-04-18;0.38;0.51;0.8;1.17;2.07;3.34;9.16
2024-04-17;0.38;0.51;0.8;1.17;2.1;3.37;9.18
2024-04-16;0.38;0.51;0.81;1.17;2.04;3.29;9.1
2024-04-15;0.37;0.49;0.78;1.15;1.99;3.2;8.94
2024-04-12;0.37;0.49;0.77;1.13;1.96;3.18;8.86
2024-04-11;0.35;0.47;0.75;1.11;1.88;3.09;8.72
2024-04-10;0.36;0.48;0.75;1.11;1.82;3.02;8.68
2024-04-09;0.36;0.49;0.76;1.13;1.87;3.05;8.73
