Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2022-08-10;10,380;0;62,046;642,897,240;10,400;10,400;10,340;4,496,232;4,496,232
2022-08-09;10,380;40;64,436;669,473,120;10,380;10,440;10,360;4,496,232;4,496,232
2022-08-08;10,340;40;59,053;609,739,580;10,300;10,360;10,280;4,478,906;4,478,906
2022-08-05;10,300;100;198,525;2,028,954,120;10,180;10,300;10,140;4,461,579;4,461,579
2022-08-04;10,200;100;150,110;1,535,260,440;10,280;10,300;10,180;4,418,263;4,418,263
2022-08-03;10,300;80;173,592;1,787,401,820;10,340;10,340;10,260;4,461,579;4,461,579
2022-08-02;10,380;20;82,316;853,273,640;10,380;10,380;10,340;4,496,232;4,496,232
2022-08-01;10,400;40;63,860;662,823,400;10,400;10,400;10,360;4,504,895;4,504,895
2022-07-29;10,440;0;42,826;446,150,860;10,400;10,440;10,380;4,522,222;4,522,222
2022-07-28;10,440;0;93,434;972,479,020;10,420;10,440;10,360;4,522,222;4,522,222
2022-07-27;10,440;20;52,084;542,901,140;10,440;10,440;10,400;4,522,222;4,522,222
2022-07-26;10,460;0;64,026;667,734,380;10,420;10,460;10,400;4,530,885;4,530,885
2022-07-25;10,460;0;90,605;944,476,580;10,460;10,460;10,400;4,530,885;4,530,885
2022-07-22;10,460;0;59,005;616,343,220;10,440;10,460;10,420;4,530,885;4,530,885
2022-07-21;10,460;20;73,797;769,743,760;10,380;10,460;10,380;4,530,885;4,530,885
2022-07-20;10,440;0;62,539;651,018,460;10,440;10,440;10,380;4,522,222;4,522,222
2022-07-19;10,440;0;161,686;1,678,542,940;10,400;10,440;10,320;4,522,222;4,522,222
2022-07-18;10,440;180;163,982;1,718,289,980;10,600;10,600;10,420;4,522,222;4,522,222
2022-07-15;10,620;20;113,280;1,200,540,520;10,600;10,620;10,580;4,600,191;4,600,191
2022-07-14;10,640;40;66,717;708,638,340;10,660;10,680;10,600;4,608,855;4,608,855
2022-07-13;10,680;0;75,278;802,180,620;10,680;10,680;10,620;4,626,181;4,626,181
2022-07-12;10,680;0;119,532;1,273,124,120;10,680;10,700;10,600;4,626,181;4,626,181
2022-07-11;10,680;80;89,418;957,057,160;10,720;10,740;10,680;4,626,181;4,626,181
2022-07-08;10,760;0;110,717;1,189,408,440;10,720;10,760;10,720;4,660,834;4,660,834
2022-07-07;10,760;0;104,783;1,125,396,820;10,760;10,760;10,720;4,660,834;4,660,834
2022-07-06;10,760;20;56,223;604,343,600;10,740;10,780;10,740;4,660,834;4,660,834
2022-07-05;10,780;40;106,501;1,144,304,100;10,700;10,780;10,700;4,669,497;4,669,497
2022-07-04;10,740;120;72,568;781,479,760;10,760;10,800;10,740;4,652,171;4,652,171
2022-07-01;10,860;40;66,272;718,474,000;10,900;10,900;10,800;4,704,150;4,704,150
2022-06-30;10,900;20;36,565;397,475,120;10,880;10,900;10,800;4,721,477;4,721,477
2022-06-29;10,880;40;86,575;936,992,340;10,820;10,880;10,760;4,712,814;4,712,814
2022-06-28;10,840;0;63,267;684,272,360;10,800;10,840;10,760;4,695,487;4,695,487
2022-06-27;10,840;80;77,905;845,047,100;10,900;10,980;10,800;4,695,487;4,695,487
2022-06-24;10,920;40;120,437;1,312,775,460;10,880;10,940;10,840;4,730,140;4,730,140
2022-06-23;10,880;80;63,806;687,148,640;10,800;10,880;10,700;4,712,814;4,712,814
2022-06-22;10,800;60;360,697;3,837,973,960;10,700;10,900;10,560;4,678,161;4,678,161
2022-06-21;10,740;160;245,206;2,649,459,500;10,880;10,880;10,740;4,652,171;4,652,171
2022-06-20;10,900;160;211,315;2,311,448,520;11,060;11,060;10,880;4,721,477;4,721,477
